,test,stat,p,h0,x_label,y_label,model
0,shapiro_stat,0.9902240633964539,0.6827149987220764,php - that the data was drawn from normal distribution,php,java,php
1,dagostino_stat,0.5520909642562739,0.75877841911913,php - that the data was drawn from normal distribution,php,java,php
0,shapiro_stat,0.9658764600753784,0.010786463506519794,java - that the data was drawn from normal distribution,php,java,php
1,dagostino_stat,8.731848878017294,0.012702906683243066,java - that the data was drawn from normal distribution,php,java,php
0,t_test_one_sided,-13.847524718718844,1.0,php is not greater than java,php,java,php
0,wilcoxon,129.0,0.9999999999999999,php is not greater than java,php,java,php
0,shapiro_stat,0.9902240633964539,0.6827149987220764,php - that the data was drawn from normal distribution,php,javascript,php
1,dagostino_stat,0.5520909642562739,0.75877841911913,php - that the data was drawn from normal distribution,php,javascript,php
0,shapiro_stat,0.97992342710495,0.13112136721611023,javascript - that the data was drawn from normal distribution,php,javascript,php
1,dagostino_stat,1.7122598078992164,0.4248029332986464,javascript - that the data was drawn from normal distribution,php,javascript,php
0,t_test_one_sided,-3.147746697462572,0.9989718615222714,php is not greater than javascript,php,javascript,php
0,wilcoxon,1672.0,0.9983209619667553,php is not greater than javascript,php,javascript,php
0,shapiro_stat,0.9902240633964539,0.6827149987220764,php - that the data was drawn from normal distribution,php,python,php
1,dagostino_stat,0.5520909642562739,0.75877841911913,php - that the data was drawn from normal distribution,php,python,php
0,shapiro_stat,0.9793838262557983,0.11901213973760605,python - that the data was drawn from normal distribution,php,python,php
1,dagostino_stat,4.631283709281727,0.09870281080893414,python - that the data was drawn from normal distribution,php,python,php
0,t_test_one_sided,60.62535449469812,1.0585110756172599e-106,php is not greater than python,php,python,php
0,wilcoxon,5050.0,1.9476205883528185e-18,php is not greater than python,php,python,php
0,shapiro_stat,0.9741578698158264,0.046367961913347244,python - that the data was drawn from normal distribution,python,cpp,python
1,dagostino_stat,4.824909851621011,0.08959507510924491,python - that the data was drawn from normal distribution,python,cpp,python
0,shapiro_stat,0.9908260107040405,0.7311475276947021,cpp - that the data was drawn from normal distribution,python,cpp,python
1,dagostino_stat,0.3573089908397593,0.8363948277248989,cpp - that the data was drawn from normal distribution,python,cpp,python
0,t_test_one_sided,5.659647193221655,6.293245703437495e-08,python is not greater than cpp,python,cpp,python
0,wilcoxon,3974.0,3.1435864071149095e-07,python is not greater than cpp,python,cpp,python
0,shapiro_stat,0.9741578698158264,0.046367961913347244,python - that the data was drawn from normal distribution,python,java,python
1,dagostino_stat,4.824909851621011,0.08959507510924491,python - that the data was drawn from normal distribution,python,java,python
0,shapiro_stat,0.9899523258209229,0.6607401967048645,java - that the data was drawn from normal distribution,python,java,python
1,dagostino_stat,2.1351886520164056,0.34383467742541246,java - that the data was drawn from normal distribution,python,java,python
0,t_test_one_sided,-48.89464983540854,1.0,python is not greater than java,python,java,python
0,wilcoxon,0.0,1.0,python is not greater than java,python,java,python
0,shapiro_stat,0.9741578698158264,0.046367961913347244,python - that the data was drawn from normal distribution,python,javascript,python
1,dagostino_stat,4.824909851621011,0.08959507510924491,python - that the data was drawn from normal distribution,python,javascript,python
0,shapiro_stat,0.9770563244819641,0.07820761948823929,javascript - that the data was drawn from normal distribution,python,javascript,python
1,dagostino_stat,3.79642434331847,0.14983626141683098,javascript - that the data was drawn from normal distribution,python,javascript,python
0,t_test_one_sided,-30.452810021482826,1.0,python is not greater than javascript,python,javascript,python
0,wilcoxon,1.0,1.0,python is not greater than javascript,python,javascript,python
0,shapiro_stat,0.9741578698158264,0.046367961913347244,python - that the data was drawn from normal distribution,python,php,python
1,dagostino_stat,4.824909851621011,0.08959507510924491,python - that the data was drawn from normal distribution,python,php,python
0,shapiro_stat,0.9597575068473816,0.0038644035812467337,php - that the data was drawn from normal distribution,python,php,python
1,dagostino_stat,6.365355641537778,0.04147444515683261,php - that the data was drawn from normal distribution,python,php,python
0,t_test_one_sided,9.431330280857724,6.019264441870073e-16,python is not greater than php,python,php,python
0,wilcoxon,4627.0,2.461130321175023e-13,python is not greater than php,python,php,python
